URL,XPath 1,XPath 2,XPath 3,XPath 4,XPath 5,XPath 6,XPath 7,XPath 8,XPath 9,XPath 10
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-04,2,12,17,20,65,17,$144 Million,TN,None,WY
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-07,7,16,25,50,53,15,$40 Million,None,None,NJ
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-11,4,26,32,55,64,18,$50 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-14,14,22,37,45,66,5,$60 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-18,17,40,41,46,69,6,$70 Million,None,NC,"CA, CT, NH"
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-21,37,47,50,52,57,21,$80 Million,None,NE,CA
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-25,16,29,53,58,69,21,$90 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-11-28,2,6,47,66,67,2,$100 Million,None,None,TX
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-02,14,18,19,32,64,9,$110 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-05,13,27,33,47,68,13,$129 Million,None,None,"CT, FL, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-09,7,10,16,46,56,1,$146 Million,None,None,MD
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-12,2,14,19,30,62,22,$161 Million,None,None,"FL, TX"
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-16,9,10,32,42,55,6,$180 Million,None,None,MI
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-19,28,30,41,59,68,10,$205 Million,None,OR,MO
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-23,16,38,55,63,67,25,$233 Million,None,None,PA
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-26,27,40,44,59,65,20,$262 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-12-30,12,36,38,54,61,22,$302 Million,None,None,"CA, PA"
https://www.powerball.com/draw-result?gc=powerball&date=2016-01-02,5,6,15,29,42,10,$356 Million,None,PA,"CA, CT, SC"
https://www.powerball.com/draw-result?gc=powerball&date=2016-01-06,2,11,47,62,63,17,$529 Million,None,NM,"CA, CT, FL (2), GA, LA (2), MA, NE, NY, OR, TN, TX, WA"
https://www.powerball.com/draw-result?gc=powerball&date=2016-01-09,16,19,32,34,57,13,$948 Million,None,"CT, TX (2)","AZ (2), CA (6), CT, FL, GA, IA, MA, MD, MI (3), NY (3), OH (2), PA, TX, VA"
